group,label,f128_ns_per_iter,mpfr_ns_per_iter,mpfr_to_f128_ratio
f128 <-> f128,add,13.125589625,61.063747499999998,4.6522670024433284
f128 <-> f128,subtract,13.056103,61.332782250000001,4.6976331490338277
f128 <-> f128,multiply,13.0673175,66.468198437500007,5.0865985645102763
f128 <-> f128,divide,13.289344270833332,70.289844270833328,5.2891883029248721
Mixed Workloads,affine trig transform,197.491484375,1572.40359375,7.9618804766502986
Mixed Workloads,mandelbrot kernel,26.530567971875662,124.55975732379645,4.6949525338409215
Mixed Workloads,mixed arithmetic,23.514179291666665,342.68483845238097,14.529223645211914
Rounding,floor,13.19594275,57.263681875000003,4.3394915361390156
Rounding,ceil,13.150594999999999,59.050875750000003,4.490357717654601
Rounding,trunc,13.079686499999999,55.895754625000002,4.2734781621103846
Rounding,round,13.093617625,76.362278375000002,5.8320229414061568
Rounding,nearbyint,13.16666925,77.130548125000004,5.8580151639337341
Rounding,rint,13.25445375,75.417848375000005,5.6900004932304364
Rounding,lround,4.4857788750000003,49.376270124999998,11.0072902612704
Rounding,llround,4.5025861249999997,49.834233249999997,11.067913387220328
Rounding,lrint,4.1775548750000002,48.908312500000001,11.707401569440783
Rounding,llrint,4.2034782499999999,50.108606250000001,11.920748311234869
Remainders,fmod,51.065159375,110.6596421875,2.1670282349432108
Remainders,remainder,54.266728125,131.02305312499999,2.414426991492773
Remainders,remquo,15.6561078125,154.19499999999999,9.8488718809721725
Floating-point utilities,abs,13.282628375,56.834887500000001,4.2788886277186089
Floating-point utilities,fma,15.186554375,76.390949062499999,5.0301699237487503
Floating-point utilities,fmin,13.131088999999999,62.857497875,4.7869219281812807
Floating-point utilities,fmax,13.2309695,60.990159124999998,4.6096515546347527
Floating-point utilities,fdim,14.97291175,59.085693249999998,3.9461725438941428
Floating-point utilities,copysign,13.189102999999999,58.07254975,4.4030704552083639
Floating-point utilities,ldexp,13.429154687500001,59.849095312499998,4.4566539521812318
Floating-point utilities,scalbn,13.4962435,59.772103625,4.4287955848603353
Floating-point utilities,scalbln,13.42025475,58.613262499999998,4.3675223452818583
Floating-point utilities,frexp,13.9335735,73.115881250000001,5.24746083623128
Floating-point utilities,modf,19.719032250000001,148.0434515,7.5076428509822026
Floating-point utilities,ilogb,3.7936317499999999,13.24992825,3.4926764438852032
Floating-point utilities,logb,13.841750749999999,73.680166499999999,5.3230380918396474
Floating-point utilities,nextafter,13.187910499999999,248.246016,18.823756500318986
Floating-point utilities,nexttoward(type),13.248809375,250.615762375,18.916096932295094
Floating-point utilities,nexttoward(long double),13.178551875,270.95512224999999,20.560310785284972
Roots & powers,sqrt,13.348879166666666,70.381717187500001,5.2724814052740383
Roots & powers,cbrt,54.906701562499997,300.98342734375001,5.4817247945798062
Roots & powers,hypot,17.662285000000001,153.6039025,8.6967174688892186
Roots & powers,pow,396.27344583333331,1781.2360083333333,4.4949668645788963
Exponentials,exp,156.57594270833334,699.79584895833329,4.4693701781626798
Exponentials,exp2,152.819496875,809.29430833333333,5.2957529954132916
Exponentials,expm1,161.754971875,795.00447604166663,4.9148688712704622
Logarithms,log,223.1200375,980.77357291666669,4.3957216209981445
Logarithms,log2,226.61010520833332,1094.2805260416667,4.8289131900611544
Logarithms,log10,323.20303437500002,1970.2453229166667,6.0959988408730936
Logarithms,log1p,211.39058750000001,1035.2683541666668,4.8974193525370033
Trigonometric,sin,89.896313541666672,873.25229895833331,9.7139945405390122
Trigonometric,cos,91.110074999999995,669.2261125,7.3452481791942335
Trigonometric,tan,89.151193750000004,1051.0316489583333,11.789316606412051
Trigonometric,asin,172.08262500000001,1943.2383843749999,11.292472929065324
Trigonometric,acos,175.78755312499999,1923.7072125,10.943364181945689
Trigonometric,atan,152.47794007646277,1473.3878366023937,9.6629573816614869
Trigonometric,atan2,162.9420056931516,1930.9827034158909,11.850736065273864
Trigonometric,sincos,91.091922916666661,1569.1679031250001,17.226202421487105
Hyperbolic,sinh,164.85572500000001,877.95644374999995,5.3256048205180617
Hyperbolic,cosh,166.14042000000001,803.04656,4.8335411695721007
Hyperbolic,tanh,174.93441625,872.00839374999998,4.9847732221188918
Inverse hyperbolic,asinh,249.58591000000001,2924.3606525,11.716849931552625
Inverse hyperbolic,acosh,248.222735,1111.1497012499999,4.4764219572796176
Inverse hyperbolic,atanh,230.19216125,1340.6001012499999,5.8238303770650219
Special functions,erfc,741.38412500000004,5818.6862499999997,7.8484095542239984
Special functions,erf,741.80544791666671,3947.9592083333332,5.3220951927773399
Special functions,tgamma,611.88108333333332,4703.1361927083335,7.6863565826992808
Special functions,lgamma,674.27701041666671,5154.3870104166663,7.644316698906187
f128 internals,"diff_products_inline(x*a, y*b)",13.616157812499999,77.333244270833333,5.6795202681801573
f128 internals,"sum_products_inline(x*a, y*b)",13.551093229166666,74.307221354166671,5.4834853614785626
