group,label,f256_ns_per_iter,mpfr_ns_per_iter,mpfr_to_f256_ratio
f256 <-> f256,add,29.272928749999998,68.740813750000001,2.348272505872854
f256 <-> f256,subtract,29.253795833333335,73.597717500000002,2.5158347969373205
f256 <-> f256,multiply,32.812109374999999,79.416341666666668,2.4203363690837589
f256 <-> f256,divide,91.226107812500004,100.6223140625,1.1029990917656196
Mixed Workloads,affine trig transform,1780.6192187500001,2239.0449531250001,1.2574529857634673
Mixed Workloads,mandelbrot kernel,119.51731343917481,193.57235587160014,1.6196176963943696
Mixed Workloads,mixed arithmetic,310.71976404761909,539.96435219047623,1.744842660029597
Rounding,floor,21.18847375,70.481700833333335,3.3264170730245888
Rounding,ceil,21.311183333333332,71.021990416666668,3.3326159934807316
Rounding,trunc,21.297210416666665,70.260336249999995,3.2990393988414564
Rounding,round,30.016630833333334,89.884906666666666,2.9945035192573939
Rounding,nearbyint,33.524842916666664,297.10070583333334,8.8621058291560733
Rounding,rint,33.586480416666667,297.10242958333333,8.8458935231540892
Rounding,lround,20.856689500000002,57.16661525,2.7409246922911708
Rounding,llround,20.926375749999998,58.500707249999998,2.7955489258573598
Rounding,lrint,20.092362749999999,57.302742000000002,2.8519663273549054
Rounding,llrint,20.04117875,58.690276500000003,2.9284842589411064
Remainders,fmod,103.25236874999999,122.08812500000001,1.1824244467999192
Remainders,remainder,128.56420833333334,388.69990833333333,3.0233912950759687
Remainders,remquo,138.210078125,182.306990625,1.3190571418396702
Floating-point utilities,abs,21.48211775,61.522262750000003,2.8638825774055725
Floating-point utilities,fma,35.932871874999996,103.84176562499999,2.8898821665642331
Floating-point utilities,fmin,15.9121065,71.419107249999996,4.4883502539402933
Floating-point utilities,fmax,15.95203025,70.554633999999993,4.4229250380214138
Floating-point utilities,fdim,23.790258999999999,66.048490749999999,2.7762829631236885
Floating-point utilities,copysign,21.16278325,70.909330499999996,3.3506618511532502
Floating-point utilities,ldexp,23.783996875,69.855278906250007,2.9370706392783279
Floating-point utilities,scalbn,23.7150885,69.320074000000005,2.9230366987666945
Floating-point utilities,scalbln,23.697569000000001,70.16203625,2.9607271636174999
Floating-point utilities,frexp,28.217058250000001,93.224759000000006,3.3038440142852243
Floating-point utilities,modf,42.17374075,206.2496185,4.8904748507517679
Floating-point utilities,ilogb,7.3060799999999997,13.623757749999999,1.8647151071436392
Floating-point utilities,logb,22.085931500000001,85.785758999999999,3.8841811584899641
Floating-point utilities,nextafter,23.326429999999998,265.19590025000002,11.368902153051282
Floating-point utilities,nexttoward(type),23.326473249999999,260.06209725000002,11.148796239482968
Floating-point utilities,nexttoward(long double),23.343641999999999,285.91314125000002,12.248009168834924
Roots & powers,sqrt,128.43300937500001,132.91843750000001,1.0349242624371076
Roots & powers,cbrt,343.42860000000002,397.10969999999998,1.1563093463968928
Roots & powers,hypot,150.87628333333333,190.89612500000001,1.2652493869977577
Roots & powers,pow,1114.4400666666668,3146.4033916666667,2.8233042635282133
Exponentials,exp,582.16006249999998,1012.5870958333334,1.7393620089377626
Exponentials,exp2,568.94949166666663,1110.6838416666667,1.9521659794669239
Exponentials,expm1,868.43517499999996,1117.5993450000001,1.2869116511776486
Logarithms,log,500.52027916666668,1645.0056916666667,3.2865914931668563
Logarithms,log2,513.50297083333328,1790.8572541666667,3.487530464060201
Logarithms,log10,571.22129166666662,3013.4049125000001,5.2753721831826565
Logarithms,log1p,689.54769999999996,1677.5778,2.4328669358189434
Trigonometric,sin,767.32917499999996,1213.1669958333334,1.581025504254199
Trigonometric,cos,760.93817083333329,929.81802916666663,1.2219363738165301
Trigonometric,tan,903.15200000000004,1363.5266666666666,1.509742177027418
Trigonometric,asin,1013.5658875,3735.3751750000001,3.6853797282122915
Trigonometric,acos,1031.3054,3969.8404,3.8493354150962462
Trigonometric,atan,813.27994653734106,3309.3869587526483,4.0691854912233483
Trigonometric,atan2,896.18266270524362,3643.5003806938557,4.0655778473726292
Hyperbolic,sinh,987.52603124999996,1165.2374500000001,1.1799561865979926
Hyperbolic,cosh,686.87148749999994,1115.49944375,1.6240293330708389
Hyperbolic,tanh,951.58533124999997,1212.2823625000001,1.2739607502225252
Inverse hyperbolic,asinh,651.49971249999999,1909.82820625,2.9314336900033551
Inverse hyperbolic,acosh,657.09208750000005,1859.3087250000001,2.8296014521708877
Inverse hyperbolic,atanh,701.75515625000003,1964.32945,2.7991663937275129
Special functions,erfc,3214.7038281250002,14143.72703125,4.3996983197980741
Special functions,erf,3218.1622968749998,8529.6055781249997,2.6504584888113576
Special functions,tgamma,6445.5571874999996,9687.4015624999993,1.5029579725530904
Special functions,lgamma,6300.8400000000001,10168.840937499999,1.6138865512376126
