group,label,f128_ns_per_iter,mpfr_ns_per_iter,mpfr_to_f128_ratio
f128 <-> f128,add,7.5480499999999999,57.1215525,7.5677231205410669
f128 <-> f128,subtract,7.36132425,55.926185750000002,7.5972995959252847
f128 <-> f128,multiply,8.4526937499999999,56.515440624999997,6.6860863881410584
f128 <-> f128,divide,7.4562145833333338,68.037870833333329,9.1249882997488374
Mixed Workloads,affine trig transform,201.63106250000001,1493.68678125,7.408019194711132
Mixed Workloads,mandelbrot kernel,13.540026094090575,132.13970307905674,9.7591911685257351
Mixed Workloads,mixed arithmetic,23.969965107142858,353.33698035714286,14.690438604810112
Rounding,floor,9.2116869999999995,62.45861,6.7803660719258048
Rounding,ceil,9.2358414999999994,62.527796000000002,6.7701244115113939
Rounding,trunc,9.3573690000000003,63.196059249999998,6.7536141034942618
Rounding,round,9.2372502500000007,73.420294749999996,7.9482846911070739
Rounding,nearbyint,9.2179350000000007,73.720331999999999,7.9974888085021201
Rounding,rint,9.2575660000000006,76.3606415,8.2484576939554088
Rounding,lround,9.9647635000000001,51.82162675,5.2004873723295084
Rounding,llround,10.329825,51.756053250000001,5.0103514096318191
Rounding,lrint,10.10845975,50.718549750000001,5.0174359896917036
Rounding,llrint,10.2433025,51.260000249999997,5.0042454813767332
Remainders,fmod,26.365996875,122.60631562499999,4.6501680253650566
Remainders,remainder,29.187650000000001,140.82967812499999,4.8249748823560639
Remainders,remquo,19.384240625,162.49951874999999,8.3830737501485171
Floating-point utilities,abs,7.3728767499999996,54.631061250000002,7.4097347755067249
Floating-point utilities,fma,7.8168043750000002,86.722202499999995,11.094329388280231
Floating-point utilities,fmin,7.3562367499999999,61.437783250000003,8.3517952640662365
Floating-point utilities,fmax,7.4334825000000002,61.767900750000003,8.3094163132825027
Floating-point utilities,fdim,7.3802262499999998,57.212992249999999,7.7522003136421462
Floating-point utilities,copysign,7.49481325,60.408906500000001,8.060094959670943
Floating-point utilities,ldexp,9.2071890624999995,58.06475859375,6.3064588116521048
Floating-point utilities,scalbn,9.2177997499999993,57.467829999999999,6.2344411419872738
Floating-point utilities,scalbln,9.1520010000000003,57.854259749999997,6.3214874812622943
Floating-point utilities,frexp,9.4579705000000001,76.196521500000003,8.0563289449887794
Floating-point utilities,modf,9.3123542500000003,144.46850499999999,15.513639314140137
Floating-point utilities,ilogb,7.9969634999999997,13.655033250000001,1.707527269569256
Floating-point utilities,logb,9.8893854999999995,76.765086499999995,7.7623717368485634
Floating-point utilities,nextafter,9.1401135,243.119923,26.599223631085106
Floating-point utilities,nexttoward(type),9.0668767500000005,245.61149325,27.088875256851814
Floating-point utilities,nexttoward(long double),9.3196922499999992,267.39178225000001,28.691052781276124
Roots & powers,sqrt,47.596338541666668,67.975631250000006,1.4281693368176409
Roots & powers,cbrt,61.796574999999997,273.28959062500002,4.4224067535296259
Roots & powers,hypot,34.278395000000003,150.75226749999999,4.3978799911722817
Roots & powers,pow,379.08088750000002,1751.8862208333333,4.6214047676917849
Exponentials,exp,146.56276041666666,663.99996458333328,4.5304821135712263
Exponentials,exp2,145.10413333333332,772.5535083333333,5.324131646605978
Exponentials,expm1,154.17702291666666,753.76653541666667,4.8889680262154283
Logarithms,log,218.24586666666667,871.68298958333332,3.9940412292649756
Logarithms,log2,217.95221874999999,1086.1247708333333,4.9833159628402885
Logarithms,log10,319.13756666666666,1888.92318125,5.91883682319025
Logarithms,log1p,224.82300000000001,897.81136666666669,3.9934142265989987
Trigonometric,sin,96.545356249999998,834.11604583333337,8.6396288566528892
Trigonometric,cos,95.967687499999997,670.21649791666664,6.9837725111034548
Trigonometric,tan,107.95982083333334,980.99679583333329,9.0866841780682517
Trigonometric,asin,194.50971874999999,1805.43948125,9.2820013974237465
Trigonometric,acos,198.384271875,1852.6321312499999,9.3386038809433725
Trigonometric,atan,134.55555440611761,1294.343303098517,9.619397049875106
Trigonometric,atan2,157.95809264102223,1895.2614001257946,11.998507758845836
Hyperbolic,sinh,161.52282499999998,819.88322500000004,5.0759589240715677
Hyperbolic,cosh,160.9722725,722.98653249999995,4.4913730872501656
Hyperbolic,tanh,169.19499500000001,833.71303250000005,4.9275277469052794
Inverse hyperbolic,asinh,285.93924249999998,2537.530295,8.8743688093109512
Inverse hyperbolic,acosh,290.93372499999998,1142.678185,3.927623670992423
Inverse hyperbolic,atanh,214.49499,1441.8203550000001,6.7219302185099989
Special functions,erfc,738.50928514376994,7325.7173023162941,9.9196008089324881
Special functions,erf,742.82020833333331,3783.4626874999999,5.0933760889313451
Special functions,tgamma,584.52362500000004,4607.4695520833329,7.8824351232738161
Special functions,lgamma,626.38040624999996,5116.4939062499998,8.1683492254831371
