group,label,f256_ns_per_iter,mpfr_ns_per_iter,mpfr_to_f256_ratio
f256 <-> f256,add,28.060669583333333,72.620564166666668,2.5879840091128736
f256 <-> f256,subtract,28.351723750000001,72.850146249999995,2.5695138289431165
f256 <-> f256,multiply,34.022191666666664,81.306956249999999,2.3898212392254763
f256 <-> f256,divide,82.539435937500002,97.009770312499995,1.1753141902490967
Mixed Workloads,affine trig transform,1812.9835312499999,2264.684953125,1.2491481108841429
Mixed Workloads,mandelbrot kernel,149.24469024056125,186.40114196688236,1.2489633076153677
Mixed Workloads,mixed arithmetic,305.56659483333334,530.98042942857148,1.7415989711881739
Rounding,floor,23.925267083333335,70.827955833333334,2.9603830789698078
Rounding,ceil,24.18334875,72.489350000000002,2.9974901635572699
Rounding,trunc,24.005040833333332,69.419031250000003,2.8918522460334635
Rounding,round,33.344279583333332,89.341866249999995,2.6793761138764043
Rounding,nearbyint,33.065051666666669,295.29271083333333,8.9306592897606745
Rounding,rint,33.251532916666669,296.28560125000001,8.9104343547870766
Rounding,lround,19.950006999999999,54.796677250000002,2.7466996502808247
Rounding,llround,19.926653999999999,55.955068249999997,2.8080513793233925
Rounding,lrint,21.55643525,55.40809325,2.5703736544287858
Rounding,llrint,21.57213475,55.979075000000002,2.5949715060073042
Remainders,fmod,116.80546875,126.43723125,1.082459859140799
Remainders,remainder,134.76643333333334,385.99035833333335,2.8641431607722301
Remainders,remquo,136.59489375000001,189.16093125,1.3848316438256316
Floating-point utilities,abs,20.253224249999999,64.029225749999995,3.1614337035743825
Floating-point utilities,fma,44.669191875000003,93.129666874999998,2.0848746745992033
Floating-point utilities,fmin,23.9734585,72.535335500000002,3.0256517014430773
Floating-point utilities,fmax,23.89238975,73.147199000000001,3.0615271124145296
Floating-point utilities,fdim,26.863988750000001,70.744052249999996,2.6334157934755686
Floating-point utilities,copysign,22.011008499999999,73.588606249999998,3.3432637241496681
Floating-point utilities,ldexp,23.256420312500001,73.065743749999996,3.1417450651564023
Floating-point utilities,scalbn,23.22860425,74.630890500000007,3.2128874252098036
Floating-point utilities,scalbln,23.182111249999998,73.955393000000001,3.1901923083041028
Floating-point utilities,frexp,24.761024500000001,91.893824499999994,3.7112286892652602
Floating-point utilities,modf,51.853011250000002,197.03375025,3.799851647959982
Floating-point utilities,ilogb,7.6910664999999998,13.364417,1.7376545892562494
Floating-point utilities,logb,30.782918500000001,84.585374250000001,2.7478022998371645
Floating-point utilities,nextafter,23.91779,272.55755375000001,11.395599415748697
Floating-point utilities,nexttoward(type),23.84585525,276.80578750000001,11.608129991479338
Floating-point utilities,nexttoward(long double),23.638122249999999,294.24206149999998,12.447776451448041
Roots & powers,sqrt,139.79584843750001,141.47853125,1.0120367151908112
Roots & powers,cbrt,333.56653749999998,366.27481875000001,1.0980562423771301
Roots & powers,hypot,169.78166666666667,191.86087499999999,1.1300447142899213
Roots & powers,pow,1132.7559833333332,3211.9667416666666,2.8355327969355684
Exponentials,exp,594.44917916666668,1040.5260249999999,1.7504036702660934
Exponentials,exp2,570.50946250000004,1164.5626666666667,2.041267924923623
Exponentials,expm1,892.57560000000001,1144.1943450000001,1.2819018859578954
Logarithms,log,512.90547083333331,1805.0128125000001,3.5191919664404052
Logarithms,log2,517.48355000000004,1829.4085666666667,3.5352013927141579
Logarithms,log10,565.91958333333332,3107.2059958333334,5.4905433339689758
Logarithms,log1p,693.74892,1709.16383,2.4636634100994348
Trigonometric,sin,772.74022916666672,1205.7357458333333,1.5603377439448374
Trigonometric,cos,773.72860000000003,936.52221250000002,1.2104014411513289
Trigonometric,tan,956.86900000000003,1360.1546958333333,1.4214638532895656
Trigonometric,asin,1031.3109875,3812.4438624999998,3.6966966402071808
Trigonometric,acos,1047.4316187500001,4024.8766999999998,3.8426152389816801
Trigonometric,atan,826.58462576138766,3344.0565123477227,4.0456311527297393
Trigonometric,atan2,901.08547404661022,3709.0705525026483,4.1162249967762659
Hyperbolic,sinh,1005.32474375,1215.2339750000001,1.208797438394891
Hyperbolic,cosh,695.73858125000004,1173.2700625,1.68636625036956
Hyperbolic,tanh,990.93051249999996,1267.4283124999999,1.2790284449940177
Inverse hyperbolic,asinh,670.52016875000004,1976.15093125,2.9471908875373405
Inverse hyperbolic,acosh,693.57875624999997,1949.5174999999999,2.8108091293633821
Inverse hyperbolic,atanh,704.16571250000004,2021.57528125,2.8708800291806309
Special functions,erfc,3200.1543124999998,14397.66725,4.4990540592876496
Special functions,erf,3200.8912812499998,8704.6900156249994,2.7194581917276732
Special functions,tgamma,6480.6202083333337,9784.8318749999999,1.5098604084864948
Special functions,lgamma,6359.2356250000003,10599.259166666667,1.666750501427861
