group,label,f256_ns_per_iter,mpfr_ns_per_iter,mpfr_to_f256_ratio
f256 <-> f256,add,27.437499999999996,199.58333333333334,7.2741078208048604
f256 <-> f256,subtract,28.479166666666668,195.5,6.8646671543525963
f256 <-> f256,multiply,37.1875,265.57291666666669,7.1414565826330536
f256 <-> f256,divide,89.140625,320,3.5898334794040316
f256 <-> f128,add,28.5625,282.47916666666669,9.8898614150255302
f256 <-> f128,subtract,36.833333333333336,281.25,7.6357466063348411
f256 <-> f128,multiply,37.135416666666664,346.71875,9.3366058906030869
f256 <-> f128,divide,118.515625,425.15625,3.5873434410019778
f256 <-> f64,add,25.020833333333332,228.25,9.1223980016652799
f256 <-> f64,subtract,24.75,227.0625,9.1742424242424239
f256 <-> f64,multiply,32.760416666666664,296.61458333333331,9.0540540540540544
f256 <-> f64,divide,87.890625,369.375,4.2026666666666666
f256 <-> f32,add,25.9375,226.47916666666666,8.7317269076305219
f256 <-> f32,subtract,24.5,231.14583333333334,9.4345238095238102
f256 <-> f32,multiply,31.71875,297.03125,9.3645320197044342
f256 <-> f32,divide,87.578125,371.015625,4.2363960749330953
f256 <-> i64,add,30.166666666666668,231.89583333333334,7.6871546961325965
f256 <-> i64,subtract,31.375,231.75,7.3864541832669319
f256 <-> i64,multiply,40.208333333333336,297.8125,7.4067357512953365
f256 <-> i64,divide,90.78125,372.1875,4.0998278829604127
f256 <-> i32,add,24.75,239.79166666666666,9.6885521885521886
f256 <-> i32,subtract,24.958333333333332,237.5,9.5158597662771296
f256 <-> i32,multiply,30.364583333333332,211.61458333333334,6.9691252144082343
f256 <-> i32,divide,87.578125,302.03125,3.4487065120428189
Mixed Workloads,affine trig transform,2250.78125,7592.1875,3.3731343283582089
Mixed Workloads,mandelbrot kernel,160.78022916904825,764.03670275405443,4.7520563112938943
Mixed Workloads,((x*x - y*y) + a) / (c + scalar),336.77499999999998,539.42499999999995,1.6017370648058793
Mixed Workloads,((x*a + y*b) + c) / (c + scalar),346.97916666666669,1484.8958333333333,4.2794956469528662
Mixed Workloads,((x*sa + y*sb) + a) / (c + scalar),301.5625,1449.5833333333333,4.8069084628670122
Mixed Workloads,((x + a) + b) / ((c + d) + scalar),370.52083333333331,1134.0625,3.0607253303345519
Mixed Workloads,((x*a + y*b) + c*d) / ((c + d) + scalar),556.35416666666663,1874.0625,3.3684703239093805
Mixed Workloads,((x + scalar)*scalar + a) * (scalar*(y + scalar) - b),574.27083333333337,2773.75,4.8300380917830577
Mixed Workloads,((x*y + a*b) + c) / (c*c + scalar),372.91666666666669,1565.5208333333333,4.1980446927374295
Mixed Workloads,mixed workload average,585.66007175952393,2130.8360225282286,3.8078455836713641
Rounding,floor,23.729166666666668,192.1875,8.0992098331870057
Rounding,ceil,23.8125,192.66666666666666,8.0909886264216961
Rounding,trunc,24.1875,189.6875,7.8423772609819125
Rounding,round,37.0625,229.22916666666666,6.1849353569421019
Rounding,nearbyint,33.4375,803.27083333333337,24.023052959501559
Rounding,rint,33.416666666666664,804.72916666666663,24.081670822942645
Rounding,lround,6.2874999999999996,89.375,14.214711729622268
Rounding,llround,26.524999999999999,146.34999999999999,5.5174363807728559
Rounding,lrint,6.2374999999999998,88.950000000000003,14.26052104208417
Rounding,llrint,25.274999999999999,146.1875,5.7838773491592486
Remainders,fmod,90.625,318.4375,3.5137931034482759
Remainders,remainder,161.25,1006.25,6.2403100775193803
Remainders,remquo,148.59375,424.0625,2.8538380651945321
Floating-point utilities,abs,22.850000000000001,174.94999999999999,7.6564551422319465
Floating-point utilities,fma,45.78125,343.09375,7.4941979522184301
Floating-point utilities,fmin,23.262499999999999,190.52500000000001,8.1902203116603989
Floating-point utilities,fmax,23.112500000000001,194.26249999999999,8.4050838290968084
Floating-point utilities,fdim,24.824999999999999,185.40000000000001,7.4682779456193362
Floating-point utilities,copysign,22.537500000000001,186.59999999999999,8.2795341098169715
Floating-point utilities,ldexp,23.4375,191.40625,8.1666666666666661
Floating-point utilities,scalbn,23.387499999999999,189.59999999999999,8.1068947087119181
Floating-point utilities,scalbln,23.5,191.91249999999999,8.1664893617021281
Floating-point utilities,frexp,27.6875,224.36250000000001,8.1033860045146735
Floating-point utilities,modf,52.549999999999997,526.75,10.023786869647955
Floating-point utilities,ilogb,7.9375,23.399999999999999,2.9480314960629919
Floating-point utilities,logb,28.75,213.67500000000001,7.4321739130434787
Floating-point utilities,nextafter,23.574999999999999,519.96249999999998,22.055673382820785
Floating-point utilities,nexttoward(type),23.5625,526.57500000000005,22.348010610079577
Floating-point utilities,nexttoward(long double),24.412500000000001,695.4375,28.486943164362518
Roots & powers,sqrt,146.09375,402.89062500000006,2.7577540106951877
Roots & powers,cbrt,366.09375,887.1875,2.4233888177550149
Roots & powers,hypot,184.58333333333334,628.54166666666663,3.4051918735891644
Roots & powers,pow,1350.4166666666667,10073.333333333334,7.4594261030546125
Exponentials,exp,717.5,3129.375,4.3614982578397212
Exponentials,exp2,688.75,3533.125,5.1297640653357535
Exponentials,expm1,1062.5,3596.25,3.3847058823529412
Logarithms,log,574.16666666666663,5663.958333333333,9.8646589259796809
Logarithms,log2,615,5975.416666666667,9.7161246612466137
Logarithms,log10,647.08333333333337,10642.5,16.446877012234385
Logarithms,log1p,743.25,5660.5,7.615876219307097
Trigonometric,sin,937.29166666666663,3784.375,4.037563903089576
Trigonometric,cos,935.83333333333337,2800.2083333333335,2.9922083704363311
Trigonometric,tan,1170,4461.041666666667,3.8128561253561255
Trigonometric,asin,1259.375,10833.4375,8.6022332506203476
Trigonometric,acos,1298.4375,11736.25,9.0387484957882069
Trigonometric,atan,972.42452330508479,9453.4146583686434,9.7214893617021261
Trigonometric,atan2,1055.3909560381355,10129.973847987289,9.5983140560674389
Hyperbolic,sinh,1247.5,3608.4375,2.8925350701402808
Hyperbolic,cosh,867.8125,3575.9375,4.1206337774576882
Hyperbolic,tanh,1202.8125,3657.5,3.040789815536503
Inverse hyperbolic,asinh,824.68749999999989,6189.6875,7.5054945054945064
Inverse hyperbolic,acosh,841.5625,5960,7.082064611956925
Inverse hyperbolic,atanh,910.3125,5969.375,6.5575008582217649
Special functions,erfc,3720.3125,30375,8.1646367072658546
Special functions,erf,3714.0625,22000,5.9234328986116953
Special functions,tgamma,7484.375,28218.75,3.7703549060542798
Special functions,lgamma,7317.708333333333,30463.541666666668,4.1629893238434166
