group,label,precision,operation,domain,domain_role,samples,primary_competitor,primary_competitor_supported,fltx_worst_bits,fltx_mean_bits,fltx_domain_score,fltx_inf_nan_correct,competitor_worst_bits,competitor_mean_bits,competitor_domain_score,competitor_inf_nan_correct,precision_gap_bits,domain_gap_pp,fltx_ns_iter,competitor_ns_iter,speed_ratio,preferred_reference,preferred_mean_gap_bits,preferred_worst_gap_bits,preferred_domain_gap_pp,preferred_speed_ratio,qdpp (qd_real)_supported,qdpp (qd_real)_worst_bits,qdpp (qd_real)_mean_bits,qdpp (qd_real)_domain_score,qdpp (qd_real)_inf_nan_correct,qdpp (qd_real)_gap_bits,qdpp (qd_real)_domain_gap_pp,qdpp (qd_real)_ns_iter,qdpp (qd_real)_speed_ratio
IO,"to_string(high-prec, 15, hexfloat)",f256,"to_string(high-prec, 15, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.006,222.811,100,-,-,-,-,-,-,-,188.7,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(high-prec, 15, scientific)",f256,"to_string(high-prec, 15, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,51.0216,54.475,24.9281,-,51.0216,54.475,24.9281,-,0,0,253.65,809.975,3.19328,boost::multiprecision::mpfr_float_backend<64>,0,0,0,3.19328,yes,51.0216,54.475,24.9281,-,0,0,1414.9,5.57816
IO,"to_string(high-prec, 31, default)",f256,"to_string(high-prec, 31, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,100.796,118.284,51.5027,-,100.796,117.797,51.5027,-,0,0,450.1,801.45,1.7806,boost::multiprecision::mpfr_float_backend<64>,0.486863,0,0,1.7806,no,-,-,-,-,-,-,-,-
IO,"to_string(high-prec, 31, fixed)",f256,"to_string(high-prec, 31, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,91.0402,122.067,50.1881,-,91.0402,121.51,50.1881,-,0,0,704.775,1164.25,1.65195,qdpp (qd_real),0.272982,0,0,19.2812,yes,91.0402,121.794,50.1881,-,0,0,13588.9,19.2812
IO,"to_string(high-prec, 31, hexfloat)",f256,"to_string(high-prec, 31, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.006,222.811,100,-,-,-,-,-,-,-,184.825,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(high-prec, 31, scientific)",f256,"to_string(high-prec, 31, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,104.068,124.146,53.6456,-,104.068,123.537,53.6456,-,0,0,296.275,768.925,2.59531,qdpp (qd_real),0.287912,0,0,7.56974,yes,104.068,123.858,53.6456,-,0,0,2242.72,7.56974
IO,"to_string(high-prec, 63, default)",f256,"to_string(high-prec, 63, default)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,207.084,216.805,98.8529,-,207.094,214.224,98.8531,-,-0.00926096,-0.000160983,694.6,820.125,1.18072,boost::multiprecision::mpfr_float_backend<64>,2.58093,-0.00926096,-0.000160983,1.18072,no,-,-,-,-,-,-,-,-
IO,"to_string(high-prec, 63, fixed)",f256,"to_string(high-prec, 63, fixed)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,197.588,218.407,96.6371,-,197.588,216.721,96.6372,-,2.42899e-06,-0.0001163,1030.17,1275,1.23765,boost::multiprecision::mpfr_float_backend<64>,1.68522,2.42899e-06,-0.0001163,1.23765,yes,197.588,216.182,96.6369,-,-7.287e-06,0.000223229,13913.5,13.5059
IO,"to_string(high-prec, 63, hexfloat)",f256,"to_string(high-prec, 63, hexfloat)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,no,213.006,222.811,100,-,-,-,-,-,-,-,186.125,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-
IO,"to_string(high-prec, 63, scientific)",f256,"to_string(high-prec, 63, scientific)",io,primary,1000,boost::multiprecision::mpfr_float_backend<64>,yes,210.607,217.952,99.7802,-,210.549,215.32,99.7783,-,0.0580448,0.00185959,452.35,893.775,1.97585,qdpp (qd_real),1.14149,-0.0604784,-0.00563638,9.23859,yes,210.667,216.81,99.7858,-,-0.0604784,-0.00563638,4179.07,9.23859
